9 de Espadas,@9deespadas,Música,Artista,Compositores,Formato,Ano,Origem,Gênero,Gênero Relacionado,Idioma,Classifi.,Andan.,Data Cadastro,Participações,Nome do Arquivo
Cassio Moura,@cassionmoura,,,,,,,,,,,,,,
Cebola Winds,@cebolawinds,,,,,,,,,,,,,,
Cereja Azul,@cerejaazulxo,,,,,,,,,,,,,,
Chalemarrom,@chalemarrom,,,,,,,,,,,,,,
Charden,@chardenp,,,,,,,,,,,,,,
Chardin,@chardenp,,,,,,,,,,,,,,
Chico Martins,@chicomartinsmusic,,,,,,,,,,,,,,
Chico Saraiva,@chicosaraiva0707,,,,,,,,,,,,,,
Chiquinho Alencar,@alencarchiquinho,,,,,,,,,,,,,,
Clara Poema,@clara.poema,,,,,,,,,,,,,,
Cláudia Passos,@claudia_passos,,,,,,,,,,,,,,
Cláudio Schuster,@claudioschuster,,,,,,,,,,,,,,
Cledemilson da Silva,@prof.cledemilson,,,,,,,,,,,,,,
Cléo Borges,@cleodubborges,,,,,,,,,,,,,,
Coletivo Shanghai,@zuzuwah,,,,,,,,,,,,,,
Conviving With Me,@convivingwithme,,,,,,,,,,,,,,
Coquin,@coquin_musico,,,,,,,,,,,,,,
Cores de Aidê,@coresdeaideoficial,,,,,,,,,,,,,,
Coroa,@coroarap,,,,,,,,,,,,,,
Coruja Cósmica,@ocorujacosmica,,,,,,,,,,,,,,
Cosmic Void,@thecosmicvoidband,,,,,,,,,,,,,,
Cultivo,@bandacultivo,,,,,,,,,,,,,,
D'Lang,@fantasma_underground,,,,,,,,,,,,,,
Da Caverna,@dacavernaoficial,,,,,,,,,,,,,,
Da Cor do Canto,@dacordocanto,,,,,,,,,,,,,,
Daividi Marques,@deividmusica,,,,,,,,,,,,,,
Dalaci,@dalacii,,,,,,,,,,,,,,
Dan Alloliver,@danalloliver,,,,,,,,,,,,,,
Dandara Manoela,@dandaramanoela,,,,,,,,,,,,,,
Dani Miranda,@cantordanimiranda,,,,,,,,,,,,,,
Daniel Arena,@darenamusic,,,,,,,,,,,,,,
Daniel Bordin,@danielzbordin,,,,,,,,,,,,,,
Danilo Melo,@danilojmelo,,,,,,,,,,,,,,
David Toledo,@cantadavidtoledo,,,,,,,,,,,,,,
Dawid,@soudawid,,,,,,,,,,,,,,
DaWind,@dawindmusic,,,,,,,,,,,,,,
Dazaranha,@dazaranha,,,,,,,,,,,,,,
Dbregas Drama Band,@dbregasdramaband,,,,,,,,,,,,,,
Déh Lemos,@dehlemosoficial,,,,,,,,,,,,,,
Demorantes,@demorantesoficial,,,,,,,,,,,,,,
Denise de Castro,@denisedecastro1,,,,,,,,,,,,,,
Dentinho Arueira,@dentinhoarueira,,,,,,,,,,,,,,
